title,year,summary,genre,runtime,certificate,directors,actors,rating,votes,gross
Green Book,2018,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,"Biography, Comedy, Drama",130,PG-13,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco",8.2,434875,85.08
It's a Wonderful Life,1946,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Drama, Family, Fantasy",130,PG,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",8.6,425394,null
A Boy Called Christmas,2021,"In this origin story of Father Christmas, an ordinary boy (with a loyal pet mouse and a reindeer at his side) sets out on an extraordinary adventure to find his father who is on a quest to discover the fabled village of Elfhelm.","Adventure, Drama, Family",106,PG,Gil Kenan,"Maggie Smith, Isabella O'Sullivan, Joel Fry, Eden Lawrence",7.5,43,null
Klaus,2019,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Animation, Adventure, Comedy",96,PG,"Sergio Pablos, Carlos Martínez López","Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso",8.2,122748,null
A Christmas Story,1983,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.","Comedy, Family",93,PG,Bob Clark,"Peter Billingsley, Melinda Dillon, Darren McGavin, Scott Schwartz",7.9,137625,20.61
Gremlins,1984,A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,"Comedy, Fantasy, Horror",106,PG,Joe Dante,"Zach Galligan, Phoebe Cates, Hoyt Axton, John Louie",7.3,210239,148.17
The Christmas Chronicles,2018,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.","Adventure, Comedy, Family",104,PG,Clay Kaytis,"Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson",7.0,65080,null
White Christmas,1954,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,"Comedy, Musical, Romance",120,Not Rated,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen",7.6,36857,30.00
The Impossible,2012,The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,"Drama, History, Thriller",114,PG-13,J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast",7.6,212980,19.02
In Bruges,2008,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.","Comedy, Crime, Drama",107,R,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Ciarán Hinds, Elizabeth Berrington",7.9,405792,7.76
Little Women,1994,The March sisters live and grow in post-Civil War America.,"Drama, Family, Romance",115,PG,Gillian Armstrong,"Susan Sarandon, Winona Ryder, Kirsten Dunst, Claire Danes",7.3,55510,50.08
Scrooged,1988,"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve.","Comedy, Drama, Fantasy",101,PG-13,Richard Donner,"Bill Murray, Karen Allen, John Forsythe, John Glover",7.0,92259,60.33
Carol,2015,An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.,"Drama, Romance",118,R,Todd Haynes,"Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler",7.3,123020,12.71
Fanny and Alexander,1982,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",Drama,188,R,Ingmar Bergman,"Bertil Guve, Pernilla Allwin, Kristina Adolphson, Börje Ahlstedt",8.1,61401,4.97
Bad Santa,2003,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,"Comedy, Crime, Drama",92,R,Terry Zwigoff,"Billy Bob Thornton, Bernie Mac, Lauren Graham, John Ritter",7.0,138621,60.06
Die Hard 2,1990,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.","Action, Thriller",124,R,Renny Harlin,"Bruce Willis, William Atherton, Bonnie Bedelia, Reginald VelJohnson",7.1,349325,117.54
Miracle on 34th Street,1947,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.","Comedy, Drama, Family",96,Not Rated,George Seaton,"Edmund Gwenn, Maureen O'Hara, John Payne, Gene Lockhart",7.9,44366,2.65
The Muppet Christmas Carol,1992,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,"Comedy, Drama, Family",85,G,Brian Henson,"Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson",7.7,52403,27.28
Black Christmas,1974,"During their Christmas break, a group of sorority girls are stalked by a stranger.","Horror, Mystery, Thriller",98,R,Bob Clark,"Olivia Hussey, Keir Dullea, Margot Kidder, John Saxon",7.2,37447,4.05
Arthur Christmas,2011,Santa's clumsy son Arthur sets out on a mission with Grandsanta to give out a present they misplaced to a young girl in less than two hours.,"Animation, Adventure, Comedy",97,PG,"Sarah Smith, Barry Cook","James McAvoy, Jim Broadbent, Bill Nighy, Hugh Laurie",7.1,54992,46.46
Meet Me in St. Louis,1944,Young love and childish fears highlight a year in the life of a turn-of-the-century family.,"Comedy, Drama, Family",113,Passed,Vincente Minnelli,"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer",7.6,22490,7.57
The Lion in Winter,1968,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.","Biography, Drama, History",134,PG,Anthony Harvey,"Peter O'Toole, Katharine Hepburn, Anthony Hopkins, John Castle",7.9,30511,22.28
The Man Who Invented Christmas,2017,"The journey that led to Charles Dickens' creation of ""A Christmas Carol,"" a timeless tale that would redefine Christmas.","Biography, Comedy, Drama",104,PG,Bharat Nalluri,"Dan Stevens, Mark Schrier, Patrick Joseph Byrnes, Miriam Margolyes",7.0,14272,5.68
